## Automatically Generated Tests ##
B[32]			 Cin[1]			 Sa[5]			 C[32]
0xa02803ee		 0x0			 0x16			 0xfb800000
0xa9f3b303		 0x0			 0x2			 0xa7cecc0c
0x8da1f7b8		 0x0			 0x1b			 0xc0000000
0x6cec657b		 0x0			 0x12			 0x95ec0000
0xb91b477a		 0x0			 0xc			 0xb477a000
0x5c70fb58		 0x0			 0x12			 0xed600000
0x75844f49		 0x0			 0x1e			 0x40000000
0x68a898c6		 0x0			 0xf			 0x4c630000
0xb21053ba		 0x0			 0x14			 0x3ba00000
0x9e8ee57b		 0x0			 0x16			 0x5ec00000
0x1df4654e		 0x0			 0x1			 0x3be8ca9c
0x74f16c1b		 0x0			 0x10			 0x6c1b0000
0xd4b38fe1		 0x0			 0x4			 0x4b38fe10
0x52e8f8fc		 0x0			 0x1f			 0x0
0x7aef1e0c		 0x0			 0x1a			 0x30000000
0x9e615cfb		 0x0			 0x9			 0xc2b9f600
0xfaec3fb1		 0x0			 0xd			 0x87f62000
0x53d30888		 0x0			 0x1a			 0x20000000
0xdba4b01a		 0x0			 0x1			 0xb7496034
0x4c91e80e		 0x0			 0x4			 0xc91e80e0
0x9e73e6bf		 0x0			 0x11			 0xcd7e0000
0x5023a77		 0x0			 0x8			 0x23a7700
0x1ad9ddf4		 0x0			 0xa			 0x6777d000
0x8de1ec4b		 0x0			 0xf			 0xf6258000
0xaa69e658		 0x0			 0x1b			 0xc0000000
0xd1b62fe0		 0x0			 0x16			 0xf8000000
0x64e3fa6b		 0x0			 0xa			 0x8fe9ac00
0xb40620ee		 0x0			 0x1b			 0x70000000
0x99917b5d		 0x0			 0x4			 0x9917b5d0
0xe5ea33a5		 0x0			 0x1e			 0x40000000
0xf181e957		 0x0			 0x12			 0xa55c0000
0x3636ea24		 0x0			 0x6			 0x8dba8900
0xf7acf01e		 0x0			 0x19			 0x3c000000
0xd7f5eb28		 0x0			 0x1c			 0x80000000
0x2c736013		 0x0			 0x15			 0x2600000
0x79128f12		 0x0			 0x14			 0xf1200000
0x5f59788d		 0x0			 0x1c			 0xd0000000
0xad136bc8		 0x0			 0x1d			 0x0
0x435cfd99		 0x0			 0x16			 0x66400000
0x5be55627		 0x0			 0xf			 0xab138000
0xc99ccdc2		 0x0			 0x19			 0x84000000
0xf10a5dc9		 0x0			 0x5			 0x214bb920
0x4c4f6d0b		 0x0			 0xd			 0xeda16000
0x8ea0d724		 0x0			 0x19			 0x48000000
0x15608ce5		 0x0			 0x2			 0x55823394
0xc14445c2		 0x0			 0x15			 0xb8400000
0x25a2f3ed		 0x0			 0x19			 0xda000000
0x8e22f193		 0x0			 0x2			 0x388bc64c
0xdd4e3a05		 0x0			 0x13			 0xd0280000
0xc446a1b3		 0x0			 0x1d			 0x60000000
0x46e54cc0		 0x0			 0x1a			 0x0
0xd2f881e		 0x0			 0x3			 0x697c40f0
0x7c4898d9		 0x0			 0x1d			 0x20000000
0x55a7ec0c		 0x0			 0x5			 0xb4fd8180
0x47edbda4		 0x0			 0x7			 0xf6ded200
0xcaa8fdbf		 0x0			 0x14			 0xdbf00000
0x6791a8e6		 0x0			 0x3			 0x3c8d4730
0x17957f4		 0x0			 0xa			 0xe55fd000
0x9abfdc97		 0x0			 0xf			 0xee4b8000
0xfedd294		 0x0			 0xd			 0xba528000
0xc218271f		 0x0			 0x4			 0x218271f0
0xa4b3f522		 0x0			 0x3			 0x259fa910
0x8fa81267		 0x0			 0x2			 0x3ea0499c
0x7aede145		 0x0			 0xe			 0x78514000
0x88490a3c		 0x0			 0x13			 0x51e00000
0xaad3d500		 0x0			 0x17			 0x80000000
0xa8878422		 0x0			 0x14			 0x42200000
0xd4933e95		 0x0			 0x2			 0x524cfa54
0x65a9f0ed		 0x0			 0x16			 0x3b400000
0x99d44be3		 0x0			 0x3			 0xcea25f18
0x681fb1f2		 0x0			 0x10			 0xb1f20000
0xa9eb84e8		 0x0			 0x18			 0xe8000000
0x33589de3		 0x0			 0x19			 0xc6000000
0xab098fc8		 0x0			 0x1c			 0x80000000
0x465ceebb		 0x0			 0x0			 0x465ceebb
0x75e2f488		 0x0			 0xb			 0x17a44000
0x3d89604f		 0x0			 0x1			 0x7b12c09e
0x16a14328		 0x0			 0x8			 0xa1432800
0x4fcf11f7		 0x0			 0x1b			 0xb8000000
0x6c819e22		 0x0			 0x2			 0xb2067888
0x7dad4d5b		 0x0			 0x6			 0x6b5356c0
0x2c82d266		 0x0			 0xf			 0x69330000
0x568677c2		 0x0			 0x8			 0x8677c200
0x67f9f9fb		 0x0			 0x5			 0xff3f3f60
0xcb844b56		 0x0			 0x1a			 0x58000000
0x8020fd26		 0x0			 0x7			 0x107e9300
0x8c431354		 0x0			 0x1a			 0x50000000
0x6b525ba4		 0x0			 0xe			 0x96e90000
0x5c8cbf90		 0x0			 0xc			 0xcbf90000
0x300a4b1b		 0x0			 0xe			 0x92c6c000
0x775c173b		 0x0			 0x1			 0xeeb82e76
0xe3bf209c		 0x0			 0x1b			 0xe0000000
0x1192e889		 0x0			 0xb			 0x97444800
0xca9179ce		 0x0			 0xc			 0x179ce000
0x9c85a651		 0x0			 0x13			 0x32880000
0x543ee320		 0x0			 0x3			 0xa1f71900
0xaf0572aa		 0x0			 0x17			 0x55000000
0xf1bf4ac6		 0x0			 0x5			 0x37e958c0
0xfd6b79b0		 0x0			 0x13			 0xcd800000
0xfd800d92		 0x0			 0x3			 0xec006c90
0x408c8d9b		 0x0			 0x1a			 0x6c000000
0x8b533487		 0x0			 0x1a			 0x1c000000
0x22a5ceda		 0x0			 0xe			 0x73b68000
0x3ea1c91e		 0x0			 0x8			 0xa1c91e00
0xe67efba9		 0x0			 0x3			 0x33f7dd48
0xf3baba7e		 0x0			 0x16			 0x9f800000
0x37b3334b		 0x0			 0x4			 0x7b3334b0
0x6a094788		 0x0			 0x6			 0x8251e200
0x83e21358		 0x0			 0xb			 0x109ac000
0xebcf5108		 0x0			 0x13			 0x88400000
0x9aed47a3		 0x0			 0x17			 0xd1800000
0xfcdcf419		 0x0			 0x9			 0xb9e83200
0xd6421fad		 0x0			 0x5			 0xc843f5a0
0x452645bb		 0x0			 0x1c			 0xb0000000
0x252e5862		 0x0			 0x6			 0x4b961880
0xeeb5c54b		 0x0			 0x7			 0x5ae2a580
0x97a2e70c		 0x0			 0x17			 0x86000000
0x12787100		 0x0			 0x7			 0x3c388000
0x6149c01b		 0x0			 0x1c			 0xb0000000
0xccbb28c4		 0x0			 0x5			 0x97651880
0x5b2c60e3		 0x0			 0x11			 0xc1c60000
0xdea815da		 0x0			 0x7			 0x540aed00
0x1db2ff7e		 0x0			 0x15			 0xefc00000
0x425873fe		 0x0			 0xb			 0xc39ff000
0x569f233f		 0x0			 0xf			 0x919f8000
0x236adba		 0x0			 0x5			 0x46d5b740
0x54f4b9b9		 0x0			 0x0			 0x54f4b9b9
0xd50f370a		 0x0			 0x1c			 0xa0000000
0xab9c4715		 0x0			 0x1e			 0x40000000
0x3388d46		 0x0			 0x18			 0x46000000
0x1c93b485		 0x0			 0x1d			 0xa0000000
0x63a13a4f		 0x0			 0x3			 0x1d09d278
0x7c45fb67		 0x0			 0x17			 0xb3800000
0xb81ded0b		 0x0			 0xb			 0xef685800
0xcb8cd326		 0x0			 0x1c			 0x60000000
0x307614		 0x0			 0x15			 0xc2800000
0x8cc5cd9b		 0x0			 0x12			 0x366c0000
0xe03c5ba3		 0x0			 0xc			 0xc5ba3000
0xf6a70cde		 0x0			 0xc			 0x70cde000
0x7ee17b21		 0x0			 0x17			 0x90800000
0x7beef2a7		 0x0			 0x16			 0xa9c00000
0xa45e700b		 0x0			 0x8			 0x5e700b00
0x63693feb		 0x0			 0x1a			 0xac000000
0xb4dddc19		 0x0			 0x1f			 0x80000000
0xb3a24ff9		 0x0			 0x1d			 0x20000000
0xe421f4b4		 0x0			 0x13			 0xa5a00000
0x21395bd8		 0x0			 0x0			 0x21395bd8
0x5e2e993f		 0x0			 0x1b			 0xf8000000
0x9adb45c3		 0x0			 0x5			 0x5b68b860
