## Automatically Generated Tests ##
A[32]			 B[32]			 Op[4]			 Sa[5]			 C[32]			 V
0x3135e680		 0x2134237a		 0x2			 0x0			 0x0		 0
0x40a2bab3		 0x0		 0x4			 0x0			 0x0		 0
0x4217e718		 0xdb61aebf		 0x0			 0x0			 0x1		 0
0x42674628		 0xb59ac508		 0x7			 0x0			 0xf7fd8320		 0
0xc9da3d33		 0xe37c2547		 0x1			 0x0			 0xebfe3d77		 0
0x0		 0x403270da		 0xb			 0x10			 0x70da0000		 0
0x37936fde		 0xb9ae19bd		 0x2			 0x0			 0x0		 0
0x43bb8d8a		 0x0		 0x4			 0x0			 0x0		 0
0x13d6ef3a		 0x2557a62d		 0x2			 0x0			 0x0		 0
0x2294c398		 0x1de51bcc		 0x7			 0x0			 0x3f71d854		 0
0x0		 0x782560e8		 0xb			 0x8			 0x2560e800		 0
0x70743359		 0x26bcc87c		 0x2			 0x0			 0x0		 0
0x8eb27a37		 0xec044a01		 0x0			 0x0			 0x1		 0
0x14e02a78		 0x0		 0x4			 0x0			 0x0		 0
0x0		 0xbeb9ce09		 0xf			 0x1f			 0xffffffff		 0
0xdf2e5fac		 0xb2d334e1		 0x2			 0x0			 0x0		 0
0x0		 0x6969b559		 0xf			 0xe			 0x1a5a6		 0
0xbac806bc		 0x0		 0x4			 0x0			 0x1		 0
0x4c08e4ad		 0x889dde4c		 0x0			 0x0			 0x1		 0
0xeb6baa93		 0x4af84ecd		 0x2			 0x0			 0x0		 0
0xc7c108b1		 0xd30b7a3f		 0x0			 0x0			 0x1		 0
0x332532d3		 0x7c52bb61		 0x0			 0x0			 0x1		 0
0x3c0ecdb3		 0x8c129ff9		 0x7			 0x0			 0xb01c524a		 0
0x18368be		 0x0		 0x6			 0x0			 0x1		 0
0x0		 0xb4a7e2d5		 0xf			 0x1c			 0xfffffffb		 0
0x7684fed0		 0x9fad2f03		 0x1			 0x0			 0xffadffd3		 0
0x22c817c5		 0x47f04c6d		 0x2			 0x0			 0x0		 0
0x7aac4143		 0xa5a3da37		 0x7			 0x0			 0xdf0f9b74		 0
0x0		 0x22450f7a		 0xe			 0x10			 0x2245		 0
0x8bdb5a27		 0xe530b17b		 0x7			 0x0			 0x6eebeb5c		 0
0x334e1773		 0x870c0ff7		 0x0			 0x0			 0x1		 0
0xd0bf90cb		 0x637eeb1a		 0x0			 0x0			 0x1		 0
0xde90ff0d		 0x0		 0x6			 0x0			 0x0		 0
0xd0fdf9ac		 0x0		 0x4			 0x0			 0x1		 0
0x0		 0x6b43eea5		 0xf			 0x19			 0x35		 0
0xe8ca082c		 0xc688c31c		 0x5			 0x0			 0x113534c3		 0
0xbef72a91		 0x0		 0x4			 0x0			 0x1		 0
0x0		 0xcdda5da0		 0xe			 0x9			 0x66ed2e		 0
0xae04f8d		 0x0		 0x6			 0x0			 0x1		 0
0x0		 0xb28bb64d		 0xf			 0x2			 0xeca2ed93		 0
0xc477dfc8		 0x9e1cf6e		 0x1			 0x0			 0xcdf7dfee		 0
0x0		 0x71e30a91		 0xb			 0x0			 0x71e30a91		 0
0x8f5c97c		 0x3e583f48		 0x7			 0x0			 0x36adf634		 0
0x0		 0x6c047efb		 0xb			 0x18			 0xfb000000		 0
0x0		 0x66626514		 0xf			 0x1b			 0xc		 0
0x7ff082dd		 0xb59b1392		 0x5			 0x0			 0x46c20		 0
0xca24e27f		 0x0		 0x4			 0x0			 0x1		 0
0x9bf0e3d4		 0x2f9e33a5		 0x0			 0x0			 0x1		 0
0x39c36223		 0x0		 0x4			 0x0			 0x0		 0
0x0		 0x882871ef		 0xe			 0x15			 0x441		 0
0x0		 0xb09d14dc		 0xe			 0x5			 0x584e8a6		 0
0x0		 0xd0a64f5d		 0xb			 0x3			 0x85327ae8		 0
0x6411c190		 0xd4815cf0		 0x1			 0x0			 0xf491ddf0		 0
0x0		 0x95f5ada7		 0xe			 0x15			 0x4af		 0
0x91370db4		 0x14fcb5b9		 0x0			 0x0			 0x1		 0
0x0		 0x57c487d2		 0xa			 0x18			 0xd2000000		 0
0x187ef45e		 0x9844845b		 0x2			 0x0			 0x0		 0
0x0		 0x1fb26d3		 0xf			 0x8			 0x1fb26		 0
0x0		 0xb9c63aa		 0xa			 0x8			 0x9c63aa00		 0
0x0		 0x9ff2e9a9		 0xb			 0x1			 0x3fe5d352		 0
0x0		 0x5551afda		 0xe			 0x12			 0x1554		 0
0x3e820e3f		 0x0		 0x6			 0x0			 0x1		 0
0x0		 0xfae772bf		 0xe			 0x19			 0x7d		 0
0x0		 0xd36f0124		 0xb			 0xa			 0xbc049000		 0
0x0		 0xcef37389		 0xf			 0x17			 0xffffff9d		 0
0x864e8ebc		 0x86e5e671		 0x5			 0x0			 0x79101102		 0
0x0		 0xc670ddce		 0xe			 0x18			 0xc6		 0
0xd492722a		 0x91b269fa		 0x7			 0x0			 0x45201bd0		 0
0x0		 0x6ff0f4c9		 0xe			 0x1d			 0x3		 0
0x0		 0x3d84b81b		 0xe			 0x12			 0xf61		 0
0x6b165bfd		 0x81ca5357		 0x7			 0x0			 0xeadc08aa		 0
0x54316254		 0x0		 0x4			 0x0			 0x0		 0
0x0		 0xe7988efb		 0xf			 0x2			 0xf9e623be		 0
0xfc361b76		 0x961571ba		 0x1			 0x0			 0xfe377bfe		 0
0xd2699457		 0x3aa92643		 0x0			 0x0			 0x1		 0
0x8ec2197e		 0xb67c7fe5		 0x0			 0x0			 0x1		 0
0xb8a65e3b		 0x0		 0x6			 0x0			 0x0		 0
0x2d8afc2		 0x36c1f6b9		 0x7			 0x0			 0x3419597b		 0
0x0		 0x14614a33		 0xb			 0xd			 0x29466000		 0
0xa6e05b52		 0x68607ca		 0x0			 0x0			 0x1		 0
0xcb5bba54		 0x5611ea0f		 0x2			 0x0			 0x0		 0
0x43076ebb		 0x84253169		 0x5			 0x0			 0x38d88004		 0
0x79b17f71		 0x85d49b78		 0x2			 0x0			 0x0		 0
0x320094ae		 0x9e94a84a		 0x1			 0x0			 0xbe94bcee		 0
0x3cdb7a17		 0x0		 0x6			 0x0			 0x1		 0
0x7e0c3270		 0x57dc5489		 0x7			 0x0			 0x29d066f9		 0
0x3c7d8948		 0x38c00d6b		 0x7			 0x0			 0x4bd8423		 0
0x0		 0xc274d72c		 0xb			 0x8			 0x74d72c00		 0
0x268a4a84		 0xad3555a9		 0x5			 0x0			 0x5040a052		 0
0x9455e17f		 0x688dd4fe		 0x7			 0x0			 0xfcd83581		 0
0x0		 0x82c2853a		 0xf			 0x13			 0xfffff058		 0
0x4b9f4243		 0x4f9747b7		 0x2			 0x0			 0x0		 0
0x0		 0x650d0e6c		 0xf			 0xb			 0xca1a1		 0
0x72fc2b2d		 0x0		 0x4			 0x0			 0x0		 0
0xb8511ef9		 0x2d126593		 0x5			 0x0			 0x42ac8004		 0
0xd3803be3		 0xe1dd395a		 0x0			 0x0			 0x1		 0
0x68b0497f		 0x5256bd88		 0x5			 0x0			 0x85090200		 0
0xe0877248		 0x0		 0x4			 0x0			 0x1		 0
0x0		 0x59300582		 0xf			 0x1d			 0x2		 0
0x1beecd2a		 0x72492c4f		 0x5			 0x0			 0x84101290		 0
0x26c01de5		 0x0		 0x6			 0x0			 0x1		 0
0x0		 0x35c55d9c		 0xb			 0x14			 0xd9c00000		 0
0x9247f9a2		 0xdd2b1f2b		 0x1			 0x0			 0xdf6fffab		 0
0xb3d3cd70		 0x0		 0x4			 0x0			 0x1		 0
0x987070ae		 0x4dc05f1		 0x2			 0x0			 0x0		 0
0x0		 0x31d1b365		 0xe			 0x1			 0x18e8d9b2		 0
0x1436eb9		 0xa9bddf19		 0x5			 0x0			 0x56000046		 0
0x0		 0x9a176f2f		 0xf			 0x1f			 0xffffffff		 0
0x43a0ded		 0x4ae38524		 0x1			 0x0			 0x4efb8ded		 0
0x37327dd6		 0xb59041d2		 0x0			 0x0			 0x1		 0
0xc27a51c2		 0xcabe727b		 0x1			 0x0			 0xcafe73fb		 0
0xa713b411		 0xdeca851b		 0x1			 0x0			 0xffdbb51b		 0
0x452a0cb3		 0x525c900		 0x5			 0x0			 0xbad0324c		 0
0xa2f17eff		 0x0		 0x6			 0x0			 0x0		 0


#Edge Cases

#OR

0x0                       0x0  			0x1			0x0			0x0			0		
0x1			  0x0			0x1			0x0			0x1			0	
0x1			  0x1			0x1			0x0			0x1			0


#AND

0x0                       0x0  			0x3			0x0			0x0			0
0x1			  0x0			0x3			0x0			0x0			0
0x1			  0x1			0x3			0x0			0x1			0


#Xor

0x0                       0x0  			0x7			0x0			0x0			0
0x1			  0x0			0x7			0x0			0x1			0
0x1			  0x1			0x7			0x0			0x0			0


#Eq
0x0                       0x0  			0x2			0x0			0x1			0
0x1                       0x0  			0x2			0x0			0x0			0


#Ne
0x0                       0x0  			0x0			0x0			0x0			0
0x1                       0x0  			0x0			0x0			0x1			0



#le 
0x0                       0x0  			0x4			0x0			0x1			0
0x1                       0x0  			0x4			0x0			0x0			0
-1                        0x0  			0x4			0x0			0x1			0


#gt 
0x0                       0x0  			0x6			0x0			0x0			0
0x1                       0x0  			0x6			0x0			0x1			0
-1                        0x0  			0x6			0x0			0x0			0


#add
#zero addition
0			0			8			0			0			0
#positive + positive
2			2			8			0			4			0
#Positive + negative
1			-2			8			0			-1			0
#Negative + positive 
-3			1			8			0			-2			0
#Positive + negative
4			-2			8			0			2			0
#Negative + positive 
-3			5			8			0			2			0

#Max-Int + Max Int
01111111111111111111111111111111		01111111111111111111111111111111		8		0		11111111111111111111111111111110			1				
		


#substract(same as add) 
3			1			1100			0			2			0
3			-2			1100			0			5			0
-5			3			1100			0			-8			0
-2147483648		2147483648		1100			0			0			0			
2147483647		-214748364		1100			0			2362232011			1


#SLL
0		10000000000000000000000110001000		1010		10001		00000011000100000000000000000000 	0
0		10000000000000000000000110001000		1010		01001 		00000000000000110001000000000000 	0

#SRL
0		10000000000000000000000110001000		1010		11111		00000000000000000000000000000000	 0
0		00000000000000000000000110001000		1010		00000 		00000000000000000000000110001000 	 0
0		10000000000000000000000110001001		1010		10000		00000001100010010000000000000000	 0
0		11111111111111111111111111111111		1010		00001		11111111111111111111111111111110	 0

#SRA
0		00000000000000000000000000000000		1111		00001		00000000000000000000000000000000 	0
0		11111111111111111111111111111111		1111		11111 		11111111111111111111111111111111 	0
0		10000000000000000000000110001001		1111		11110		11111111111111111111111111111110 	0
0		10000000000000000000000110001000		1111		10001		11111111111111111100000000000000 	0

		                       
